year,division,income,weights
2014,Mountain,47042.3381,0.000428905
2014,Mountain,45390.85177,0.000428905
2014,Mountain,5905.314783,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,33229.90692,0.000428905
2014,Mountain,101090.9819,0.000428905
2014,Mountain,35031.52838,0.000428905
2014,Mountain,187168.4516,0.000428905
2014,Mountain,5905.314783,0.000428905
2014,Mountain,93083.7754,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,101090.9819,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,191172.0548,0.000428905
2014,Mountain,112100.8908,0.000428905
2014,Mountain,133219.8979,0.000428905
2014,Mountain,31027.92513,0.000428905
2014,Mountain,12010.80973,0.000428905
2014,Mountain,61054.94945,0.000428905
2014,Mountain,45540.98689,0.000428905
2014,Mountain,24321.8897,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,55049.54459,0.000428905
2014,Mountain,25723.15084,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,69662.69643,0.000428905
2014,Mountain,84075.6681,0.000428905
2014,Mountain,61054.94945,0.000428905
2014,Mountain,110099.0892,0.000428905
2014,Mountain,120908.8179,0.000428905
2014,Mountain,190171.154,0.000428905
2014,Mountain,191172.0548,0.000428905
2014,Mountain,80922.83055,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,12010.80973,0.000428905
2014,Mountain,35431.8887,0.000428905
2014,Mountain,75067.5608,0.000428905
2014,Mountain,12010.80973,0.000428905
2014,Mountain,74266.84016,0.000428905
2014,Mountain,107096.3867,0.000428905
2014,Mountain,42438.19437,0.000428905
2014,Mountain,61054.94945,0.000428905
2014,Mountain,62556.30067,0.000428905
2014,Mountain,31027.92513,0.000428905
2014,Mountain,20018.01621,0.000428905
2014,Mountain,45390.85177,0.000428905
2014,Mountain,16815.13362,0.000428905
2014,Mountain,86127.51476,0.000428905
2014,Mountain,222900.6105,0.000428905
2014,Mountain,222900.6105,0.000428905
2014,Mountain,80922.83055,0.000428905
2014,Mountain,10169.15224,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,55149.63467,0.000428905
2014,Mountain,86127.51476,0.000428905
2014,Mountain,3202.882594,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,61054.94945,0.000428905
2014,Mountain,190171.154,0.000428905
2014,Mountain,45390.85177,0.000428905
2014,Mountain,130117.1054,0.000428905
2014,Mountain,55049.54459,0.000428905
2014,Mountain,14112.70143,0.000428905
2014,Mountain,1000.900811,0.000428905
2014,Mountain,191172.0548,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,43238.91502,0.000428905
2014,Mountain,92112.90161,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,39455.50996,0.000428905
2014,Mountain,45040.53648,0.000428905
2014,Mountain,33229.90692,0.000428905
2014,Mountain,45390.85177,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,47042.3381,0.000428905
2014,Mountain,67560.80472,0.000428905
2014,Mountain,128115.3038,0.000428905
2014,Mountain,71063.95756,0.000428905
2014,Mountain,35531.97878,0.000428905
2014,Mountain,101090.9819,0.000428905
2014,Mountain,55149.63467,0.000428905
2014,Mountain,1000.900811,0.000428905
2014,Mountain,47042.3381,0.000428905
