market_year,division,P_purchase_given_division
2015,Mountain,0.3605595179471671
2015,North Central,0.3592874238501059
2015,North East,0.3933614292766166
2015,Pacific,0.388569900637053
2015,South Atlantic,0.3985003697893742
2015,South Central,0.5560660548850327
2016,Mountain,0.36467268413365556
2016,North Central,0.36722713277201535
2016,North East,0.39999241840498106
2016,Pacific,0.4114246359965852
2016,South Atlantic,0.40634607852885807
2016,South Central,0.5650650213474342
2017,Mountain,0.37628441053727496
2017,North Central,0.3567010744711147
2017,North East,0.39948709185995923
2017,Pacific,0.3909495629784405
2017,South Atlantic,0.3896721574760553
2017,South Central,0.560325140432471
2018,Mountain,0.3565558159854055
2018,North Central,0.36688759377031327
2018,North East,0.3863851757709101
2018,Pacific,0.3848355000913588
2018,South Atlantic,0.3843975378364094
2018,South Central,0.5212282446404342
2019,Mountain,0.3446475629777132
2019,North Central,0.3559711907538617
2019,North East,0.3848529163445586
2019,Pacific,0.3631523821606408
2019,South Atlantic,0.3801869205152821
2019,South Central,0.5238297636997049
2020,Mountain,0.28153807378990026
2020,North Central,0.29804415741573365
2020,North East,0.3191437268050172
2020,Pacific,0.30088328774719214
2020,South Atlantic,0.3368867299248306
2020,South Central,0.3860676702179873
2021,Mountain,0.3094435800788797
2021,North Central,0.28085541620379556
2021,North East,0.32324453618543414
2021,Pacific,0.3117690023030998
2021,South Atlantic,0.3333458952174827
2021,South Central,0.3698032038126514
2022,Mountain,0.2744930501483204
2022,North Central,0.2454532018439935
2022,North East,0.2706996262170424
2022,Pacific,0.27795307787312373
2022,South Atlantic,0.28557115455469423
2022,South Central,0.3323487779150488
2023,Mountain,0.293956818736011
2023,North Central,0.2712251010376912
2023,North East,0.29446332578881196
2023,Pacific,0.3072744493943211
2023,South Atlantic,0.31194985306778095
2023,South Central,0.39164056411675496
2024,Mountain,0.30447990946689324
2024,North Central,0.2887585669738747
2024,North East,0.31098241065688986
2024,Pacific,0.30552815484232143
2024,South Atlantic,0.3330376260067699
2024,South Central,0.4208048394084923
