market_year,division,vehicle_type,P_vehicle_type_given_division
2015,Mountain,Car,0.4843796569756415
2015,Mountain,SUV,0.3010843799854015
2015,Mountain,Truck,0.15292984577944072
2015,Mountain,Van,0.06160611725951634
2015,North Central,Car,0.4428708177187036
2015,North Central,SUV,0.3505598955288195
2015,North Central,Truck,0.14287154351169293
2015,North Central,Van,0.06369774324078398
2015,North East,Car,0.4980960447510244
2015,North East,SUV,0.35720458696769786
2015,North East,Truck,0.09194640928223179
2015,North East,Van,0.052752958999045946
2015,Pacific,Car,0.6111932703154669
2015,Pacific,SUV,0.25025628278912154
2015,Pacific,Truck,0.0948249996690753
2015,Pacific,Van,0.04372544722633631
2015,South Atlantic,Car,0.5386756433918497
2015,South Atlantic,SUV,0.2975225163126469
2015,South Atlantic,Truck,0.1113613000989523
2015,South Atlantic,Van,0.05244054019655107
2015,South Central,Car,0.4936094402017141
2015,South Central,SUV,0.29324755529203894
2015,South Central,Truck,0.16645748626532184
2015,South Central,Van,0.04668551824092514
2016,Mountain,Car,0.4503804609385644
2016,Mountain,SUV,0.3248811538216594
2016,Mountain,Truck,0.16035386615868674
2016,Mountain,Van,0.0643845190810895
2016,North Central,Car,0.4112213349419152
2016,North Central,SUV,0.36679278532049525
2016,North Central,Truck,0.15316495776813485
2016,North Central,Van,0.06882092196945469
2016,North East,Car,0.47198172932031773
2016,North East,SUV,0.37753838297076464
2016,North East,Truck,0.09713798012681023
2016,North East,Van,0.05334190758210739
2016,Pacific,Car,0.5746582984416292
2016,Pacific,SUV,0.276905885231309
2016,Pacific,Truck,0.10258803033799693
2016,Pacific,Van,0.04584778598906485
2016,South Atlantic,Car,0.507185389513708
2016,South Atlantic,SUV,0.3187613853002858
2016,South Atlantic,Truck,0.12116847224238622
2016,South Atlantic,Van,0.05288475294362004
2016,South Central,Car,0.4591145860060813
2016,South Central,SUV,0.32188411378924586
2016,South Central,Truck,0.16802944177627296
2016,South Central,Van,0.05097185842839989
2017,Mountain,Car,0.4136894987537614
2017,Mountain,SUV,0.34172693391773074
2017,Mountain,Truck,0.1742067087337286
2017,Mountain,Van,0.07037685859477928
2017,North Central,Car,0.3802486444303917
2017,North Central,SUV,0.4009730500652557
2017,North Central,Truck,0.15639573214213634
2017,North Central,Van,0.062382573362216275
2017,North East,Car,0.4504718401751697
2017,North East,SUV,0.3965851708065369
2017,North East,Truck,0.10141483948474575
2017,North East,Van,0.05152814953354761
2017,Pacific,Car,0.5451228632669785
2017,Pacific,SUV,0.3016099077854554
2017,Pacific,Truck,0.10833473486081938
2017,Pacific,Van,0.0449324940867468
2017,South Atlantic,Car,0.4781599760963031
2017,South Atlantic,SUV,0.34150785157827346
2017,South Atlantic,Truck,0.1293358780031837
2017,South Atlantic,Van,0.05099629432223975
2017,South Central,Car,0.4384588700173612
2017,South Central,SUV,0.3280438234775164
2017,South Central,Truck,0.18303566566246032
2017,South Central,Van,0.050461640842662
2018,Mountain,Car,0.3751541265845863
2018,Mountain,SUV,0.3703847486783817
2018,Mountain,Truck,0.1862713586636626
2018,Mountain,Van,0.06818976607336937
2018,North Central,Car,0.3437629261179656
2018,North Central,SUV,0.422415612034712
2018,North Central,Truck,0.17053127128239626
2018,North Central,Van,0.0632901905649262
2018,North East,Car,0.4089583374284984
2018,North East,SUV,0.4346835502132762
2018,North East,Truck,0.10756596082401274
2018,North East,Van,0.048792151534212645
2018,Pacific,Car,0.509418989450225
2018,Pacific,SUV,0.3330790710000112
2018,Pacific,Truck,0.11618618084821769
2018,Pacific,Van,0.0413157587015461
2018,South Atlantic,Car,0.43815196849852595
2018,South Atlantic,SUV,0.3767240940920992
2018,South Atlantic,Truck,0.1344093130012301
2018,South Atlantic,Van,0.050714624408144754
2018,South Central,Car,0.38903996195035306
2018,South Central,SUV,0.360988168411778
2018,South Central,Truck,0.19547613268551658
2018,South Central,Van,0.05449573695235236
2019,Mountain,Car,0.3520161733394697
2019,Mountain,SUV,0.3835865128744942
2019,Mountain,Truck,0.19879703223361206
2019,Mountain,Van,0.065600281552424
2019,North Central,Car,0.3131792516621806
2019,North Central,SUV,0.44258864271820814
2019,North Central,Truck,0.1835996755781006
2019,North Central,Van,0.0606324300415107
2019,North East,Car,0.3797663377710664
2019,North East,SUV,0.45683268209432587
2019,North East,Truck,0.11513826046008643
2019,North East,Van,0.04826271967452134
2019,Pacific,Car,0.48507063109065546
2019,Pacific,SUV,0.35254025771809006
2019,Pacific,Truck,0.12180223294616467
2019,Pacific,Van,0.04058687824508979
2019,South Atlantic,Car,0.4113763664617405
2019,South Atlantic,SUV,0.397868976693947
2019,South Atlantic,Truck,0.14407313102964198
2019,South Atlantic,Van,0.046681525814670555
2019,South Central,Car,0.371970721677731
2019,South Central,SUV,0.3688493908118274
2019,South Central,Truck,0.20665017987017287
2019,South Central,Van,0.05252970764026875
2020,Mountain,Car,0.31175277178087457
2020,Mountain,SUV,0.41222941000356783
2020,Mountain,Truck,0.22226664766363097
2020,Mountain,Van,0.053751170551926596
2020,North Central,Car,0.27330674046266584
2020,North Central,SUV,0.4741461856144786
2020,North Central,Truck,0.198515309694182
2020,North Central,Van,0.05403176422867363
2020,North East,Car,0.346601042947528
2020,North East,SUV,0.4825920375568698
2020,North East,Truck,0.1276718397261454
2020,North East,Van,0.04313507976945676
2020,Pacific,Car,0.4285800701974998
2020,Pacific,SUV,0.39025419670422784
2020,Pacific,Truck,0.14576177668689613
2020,Pacific,Van,0.03540395641137623
2020,South Atlantic,Car,0.3705732641137748
2020,South Atlantic,SUV,0.42212539615184697
2020,South Atlantic,Truck,0.1625575584655726
2020,South Atlantic,Van,0.04474378126880565
2020,South Central,Car,0.33239362677939244
2020,South Central,SUV,0.3988864038220588
2020,South Central,Truck,0.22682902870317243
2020,South Central,Van,0.04189094069537634
2021,Mountain,Car,0.2956509888271798
2021,Mountain,SUV,0.43938412780643143
2021,Mountain,Truck,0.21191282169790637
2021,Mountain,Van,0.053052061668482385
2021,North Central,Car,0.25610636758627675
2021,North Central,SUV,0.5046805685802075
2021,North Central,Truck,0.19117742382573738
2021,North Central,Van,0.04803564000777842
2021,North East,Car,0.32586664907157215
2021,North East,SUV,0.5134169030130078
2021,North East,Truck,0.1219996356973115
2021,North East,Van,0.038716812218108514
2021,Pacific,Car,0.4095960188060211
2021,Pacific,SUV,0.42140839995379525
2021,Pacific,Truck,0.13358516069079543
2021,Pacific,Van,0.03541042054938822
2021,South Atlantic,Car,0.3572353282429136
2021,South Atlantic,SUV,0.4559138954935095
2021,South Atlantic,Truck,0.14759225301187157
2021,South Atlantic,Van,0.039258523251705306
2021,South Central,Car,0.3221773322628019
2021,South Central,SUV,0.42508260401738146
2021,South Central,Truck,0.21247729333239673
2021,South Central,Van,0.0402627703874199
2022,Mountain,Car,0.2789291082855574
2022,Mountain,SUV,0.4487944002776289
2022,Mountain,Truck,0.22515254154845457
2022,Mountain,Van,0.047123949888359135
2022,North Central,Car,0.23311150071447118
2022,North Central,SUV,0.5184504931863937
2022,North Central,Truck,0.2066356256119356
2022,North Central,Van,0.04180238048719954
2022,North East,Car,0.3082612690912334
2022,North East,SUV,0.5216541206779605
2022,North East,Truck,0.13133109171881774
2022,North East,Van,0.03875351851198835
2022,Pacific,Car,0.39361643019380527
2022,Pacific,SUV,0.4409933871899437
2022,Pacific,Truck,0.13670880740466124
2022,Pacific,Van,0.028681375211589803
2022,South Atlantic,Car,0.3285779524922447
2022,South Atlantic,SUV,0.4791423640083358
2022,South Atlantic,Truck,0.1582747914338489
2022,South Atlantic,Van,0.03400489206557056
2022,South Central,Car,0.29787187192566816
2022,South Central,SUV,0.44607799229989503
2022,South Central,Truck,0.2207987925853274
2022,South Central,Van,0.035251343189109385
2023,Mountain,Car,0.2815938463540195
2023,Mountain,SUV,0.4601341530433532
2023,Mountain,Truck,0.21164885321061652
2023,Mountain,Van,0.04662314739201074
2023,North Central,Car,0.24290071007013692
2023,North Central,SUV,0.510639096333546
2023,North Central,Truck,0.19713786705305783
2023,North Central,Van,0.049322326543259284
2023,North East,Car,0.3146354505745842
2023,North East,SUV,0.5219425913658636
2023,North East,Truck,0.12337417770627701
2023,North East,Van,0.04004778035327513
2023,Pacific,Car,0.3874121322516284
2023,Pacific,SUV,0.45918134407185307
2023,Pacific,Truck,0.12554549906043685
2023,Pacific,Van,0.02786102461608173
2023,South Atlantic,Car,0.33024531436223326
2023,South Atlantic,SUV,0.4805354488686825
2023,South Atlantic,Truck,0.15151356185164563
2023,South Atlantic,Van,0.03770567491743859
2023,South Central,Car,0.2998917203835902
2023,South Central,SUV,0.4520937230807486
2023,South Central,Truck,0.207177536705331
2023,South Central,Van,0.040837019830330216
