scenario,scenario_label,owner_id,firm,ev_sales_thousands,ev_sales_change_thousands_vs_b0,baseline_ev_sales_thousands
B0,"B0: no tariff, no subsidy",tesla,Tesla,203.50588140703678,0.0,203.50588140703678
C1,C1: vehicle-only tariff,tesla,Tesla,229.07765605576893,25.571774648732145,203.50588140703678
C2,C2: vehicle + parts tariff,tesla,Tesla,216.40188698360336,12.89600557656658,203.50588140703678
C3,C3: EV subsidy,tesla,Tesla,420.91503041287496,217.40914900583817,203.50588140703678
C4,C4: vehicle-only tariff + subsidy,tesla,Tesla,470.5280759861808,267.022194579144,203.50588140703678
C5,C5: vehicle + parts tariff + subsidy,tesla,Tesla,438.92894843210456,235.42306702506778,203.50588140703678
B0,"B0: no tariff, no subsidy",hyundai,Hyundai/Kia,40.08224941770721,0.0,40.08224941770721
C1,C1: vehicle-only tariff,hyundai,Hyundai/Kia,20.66247041144842,-19.41977900625879,40.08224941770721
C2,C2: vehicle + parts tariff,hyundai,Hyundai/Kia,23.416706346869386,-16.665543070837824,40.08224941770721
C3,C3: EV subsidy,hyundai,Hyundai/Kia,110.22108092698875,70.13883150928154,40.08224941770721
C4,C4: vehicle-only tariff + subsidy,hyundai,Hyundai/Kia,55.99893601682864,15.916686599121427,40.08224941770721
C5,C5: vehicle + parts tariff + subsidy,hyundai,Hyundai/Kia,63.26030166541411,23.1780522477069,40.08224941770721
B0,"B0: no tariff, no subsidy",generalmotors,General Motors,22.64696326581878,0.0,22.64696326581878
C1,C1: vehicle-only tariff,generalmotors,General Motors,22.026909084904872,-0.6200541809139075,22.64696326581878
C2,C2: vehicle + parts tariff,generalmotors,General Motors,14.816857315208313,-7.830105950610466,22.64696326581878
C3,C3: EV subsidy,generalmotors,General Motors,57.38381814394195,34.73685487812317,22.64696326581878
C4,C4: vehicle-only tariff + subsidy,generalmotors,General Motors,54.33276990571829,31.685806639899507,22.64696326581878
C5,C5: vehicle + parts tariff + subsidy,generalmotors,General Motors,36.06317130902119,13.416208043202413,22.64696326581878
B0,"B0: no tariff, no subsidy",bmw,BMW,20.301758445756107,0.0,20.301758445756107
