scenario,scenario_label,owner_id,firm,ev_sales_thousands,ev_sales_change_thousands_vs_b0,baseline_ev_sales_thousands
C1,C1: vehicle-only tariff,tesla,Tesla,229.07765605576893,25.571774648732145,203.50588140703678
C2,C2: vehicle + parts tariff,tesla,Tesla,216.40188698360336,12.89600557656658,203.50588140703678
C3,C3: EV subsidy,tesla,Tesla,420.91503041287496,217.40914900583817,203.50588140703678
C1,C1: vehicle-only tariff,hyundai,Hyundai/Kia,20.66247041144842,-19.41977900625879,40.08224941770721
C2,C2: vehicle + parts tariff,hyundai,Hyundai/Kia,23.416706346869386,-16.665543070837824,40.08224941770721
C3,C3: EV subsidy,hyundai,Hyundai/Kia,110.22108092698875,70.13883150928154,40.08224941770721
C1,C1: vehicle-only tariff,generalmotors,General Motors,22.026909084904872,-0.6200541809139075,22.64696326581878
C2,C2: vehicle + parts tariff,generalmotors,General Motors,14.816857315208313,-7.830105950610466,22.64696326581878
C3,C3: EV subsidy,generalmotors,General Motors,57.38381814394195,34.73685487812317,22.64696326581878
C1,C1: vehicle-only tariff,bmw,BMW,7.235605181492207,-13.0661532642639,20.301758445756107
C2,C2: vehicle + parts tariff,bmw,BMW,9.299531586001786,-11.002226859754321,20.301758445756107
C3,C3: EV subsidy,bmw,BMW,41.62883053269812,21.32707208694201,20.301758445756107
C1,C1: vehicle-only tariff,volkswagen,Volkswagen,8.508098175349536,-5.545811534894771,14.053909710244307
C2,C2: vehicle + parts tariff,volkswagen,Volkswagen,8.957756658966519,-5.096153051277788,14.053909710244307
C3,C3: EV subsidy,volkswagen,Volkswagen,30.625854598429775,16.57194488818547,14.053909710244307
C1,C1: vehicle-only tariff,ford,Ford,10.013418728773399,-3.721967718130383,13.735386446903782
C2,C2: vehicle + parts tariff,ford,Ford,10.305419267029219,-3.429967179874563,13.735386446903782
C3,C3: EV subsidy,ford,Ford,35.45863883517356,21.723252388269778,13.735386446903782
C1,C1: vehicle-only tariff,honda,Honda,8.421948689188524,-4.446915209029143,12.868863898217667
C2,C2: vehicle + parts tariff,honda,Honda,8.784059485702139,-4.084804412515528,12.868863898217667
C3,C3: EV subsidy,honda,Honda,32.798135596764745,19.929271698547076,12.868863898217667
C1,C1: vehicle-only tariff,rivian,Rivian,11.820038875809521,1.8230758621441918,9.99696301366533
C2,C2: vehicle + parts tariff,rivian,Rivian,8.736648626311752,-1.2603143873535778,9.99696301366533
C3,C3: EV subsidy,rivian,Rivian,18.553994301450356,8.557031287785026,9.99696301366533
C1,C1: vehicle-only tariff,mercedesbenzgroup,Mercedes-Benz,2.773381418270468,-6.399671382055239,9.173052800325706
C2,C2: vehicle + parts tariff,mercedesbenzgroup,Mercedes-Benz,3.280018458131654,-5.893034342194053,9.173052800325706
C3,C3: EV subsidy,mercedesbenzgroup,Mercedes-Benz,19.716447935543826,10.54339513521812,9.173052800325706
C1,C1: vehicle-only tariff,toyota,Toyota,6.188043531559707,-1.4666992543766728,7.65474278593638
C2,C2: vehicle + parts tariff,toyota,Toyota,6.889395766145727,-0.7653470197906529,7.65474278593638
C3,C3: EV subsidy,toyota,Toyota,22.624749033582372,14.970006247645992,7.65474278593638
