product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_acura_ilx,2015,acura,0.2935,0.000109396,0.2522527793111753,0.14053567526005006,5169,0.878087444,2.959,1.5,2.8,Car,ICE,United States
2015_acura_mdx,2015,acura,0.4904,0.0004477,0.44074359017096876,0.10125695315870972,21154,1.037911045,4.103,2.9,2.3,SUV,ICE,United States
2015_acura_rdx,2015,acura,0.36495,0.000588884,0.3186715792151545,0.12680756483037542,27825,0.9391631343380001,3.732,2.73,2.3,SUV,ICE,United States
2015_acura_rlx,2015,acura,0.5445,2.4798771036296356e-05,0.493380721,0.093882974,1158,1.013183268,3.955,3.1,2.4,Car,ICE,Japan
2015_acura_tlx,2015,acura,0.374375,0.000976288,0.32762419083809524,0.12487695268622309,46130,0.964715216,3.5905,2.9,2.5,Car,ICE,United States
2015_alfaromeo_4c,2015,alfaromeo,0.639,1.3964283518952856e-05,0.5871418853416724,0.081155109,633,0.803906199,2.465,2.37,2.8,Car,ICE,Italy
2015_audi_a3,2015,audi,0.356,0.000506239,0.3103910912262647,0.12811491228577332,23920,0.9403388287071999,3.241,1.7,2.7,Car,ICE,Hungary
2015_audi_a4,2015,audi,0.385,0.000354156,0.33724530842376316,0.12403815993827753,16734,1.032189517,3.693,2.2,2.5,Car,ICE,Germany
2015_audi_a5,2015,audi,0.476,0.000127102,0.4255138051575457,0.10606343454297114,5994,1.005343686,3.682,2.2,2.5,Car,ICE,Germany
2015_audi_a6,2015,audi,0.5045,0.000193882,0.4532972837337849,0.10149200449200206,9161,1.1054992348036001,3.957,2.2,2.3,Car,ICE,Germany
2015_audi_a7,2015,audi,0.683,2.383049577454411e-05,0.6285898512958396,0.079663468,1126,1.143716593,4.2,3.1,2.1,Car,ICE,Germany
2015_audi_a8,2015,audi,0.851,8.42321253842678e-05,0.7957071303094758,0.064973995,3980,1.1968707567335999,4.508,3.33,2.2,Car,ICE,Hungary
2015_audi_q3,2015,audi,0.346,0.000164782,0.3019413844176058,0.12733703925547446,7786,0.952895772,3.494,2,2.3,SUV,ICE,Spain
2015_audi_q5,2015,audi,0.454,0.000640863,0.40499699205210354,0.10793614085439751,30281,1.0423416,4.354,2.4,2.3,SUV,ICE,Germany
2015_audi_q7,2015,audi,0.599,0.000407954,0.546124345,0.088273214,19276,1.1920631181524002,5.412,2.4,2.2,SUV,ICE,Slovakia
2015_audi_rs5,2015,audi,0.792,1.762784290597189e-05,0.7401977791099121,0.065406845,813,1.010312435,4.42,4.5,1.8,Car,ICE,Germany
2015_audi_s3,2015,audi,0.411,5.231920530841482e-05,0.36175311745588556,0.11982209864748032,2465,0.943019384,3.45,2.92,2.6,Car,ICE,Hungary
2015_audi_s4,2015,audi,0.498,6.304711093460648e-05,0.4468889518244001,0.10263262685863436,2979,1.0355353503923999,3.869,3.33,2,Car,ICE,Germany
2015_audi_s5,2015,audi,0.5875,5.243982376487145e-05,0.53501868,0.089329906,2473,1.0086561854459999,4.045,3.33,2.1,Car,ICE,Germany
