product_ids,market_ids,market_year,firm_ids,prices,subsidy,costs,markups,shares,sales,size,weight,engine_size,hp,hpwt,mpg,vehicle_type,body_type,engine_type,drive_type,ev,hybrid,distw,home_mkt,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,plant_country,plant_location,owner_ids,pricer_ids
2015_acura_ilx,2015,2015,acura,,,0.24433107952680483,0.16752613449129525,0.000109396,5169,0.8780874438024,2.959,2.0,1.5,0.5069280162216965,2.8,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Indiana,honda,honda
2015_acura_mdx,2015,2015,acura,,,0.43997735597153104,0.10281942093896608,0.0004477,21154,1.0379110446848,4.103,3.5,2.9,0.7067999025103583,2.3,SUV,suv,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Alabama,honda,honda
2015_acura_rdx,2015,2015,acura,,,0.31684112497485,0.13182319502712697,0.000588884,27825,0.939163134338,3.732,3.5,2.73,0.7315112540192925,2.3,SUV,suv,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Ohio,honda,honda
2015_acura_rlx,2015,2015,acura,,,0.4923938850638077,0.09569534423543118,2.4798771036296356e-05,1158,1.0131832684896,3.955,3.5,3.1,0.7838179519595448,2.4,Car,sedan,ICE,FWD,0,0,10286.19,0,0.854645559,0.972696106,103.449739,103.0520759,0.007060617,0.009181161,2015,0,0,Japan,Japan,honda,honda
2015_acura_tlx,2015,2015,acura,,,0.32615305906758096,0.12880652001981716,0.000976288,46130,0.964715216036,3.5905,3.5,2.9,0.8076869516780393,2.5,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Ohio,honda,honda
2015_audi_a3,2015,2015,audi,,,0.30789926426788383,0.13511442621380942,0.000506239,23920,0.9403388287072,3.241,2.0,1.7,0.5245294662141314,2.7,Car,sedan,ICE,FWD,0,0,8395.564,0,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,Hungary,Hungary,volkswagen,audi
2015_audi_a4,2015,2015,audi,,,0.33791877098779544,0.12228890652520669,0.000354156,16734,1.0321895172732,3.693,2.0,2.2,0.5957216355266721,2.5,Car,sedan,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
2015_audi_a5,2015,2015,audi,,,0.42642361707503484,0.10415206496841416,0.000127102,5994,1.005343685658,3.682,2.0,2.2,0.5975013579576318,2.5,Car,coupe,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
2015_audi_a6,2015,2015,audi,,,0.45276826196150916,0.10254061058174588,0.000193882,9161,1.1054992348036,3.957,2.0,2.2,0.5559767500631793,2.3,Car,sedan,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
2015_audi_a7,2015,2015,audi,,,0.6292326069940642,0.07872239093109194,2.383049577454411e-05,1126,1.1437165934688,4.2,3.0,3.1,0.7380952380952381,2.1,Car,sedan,ICE,AWD,0,0,7595.452,0,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,Germany,Germany,volkswagen,audi
