year,state,income,weights
2014,NEW MEXICO,71063.9575618056,0.001
2014,COLORADO,107096.386748073,0.001
2014,MINNESOTA,16815.1336202582,0.001
2014,TEXAS,75367.8310479432,0.001
2014,MISSISSIPPI,37033.3299969973,0.001
2014,FLORIDA,68061.2551296167,0.001
2014,ILLINOIS,31928.7358622761,0.001
2014,LOUISIANA,24421.9797818036,0.001
2014,MICHIGAN,19417.4757281553,0.001
2014,INDIANA,94084.6762085877,0.001
2014,MINNESOTA,180162.145931338,0.001
2014,TEXAS,52046.8421579422,0.001
2014,KENTUCKY,76669.0021018917,0.001
2014,TEXAS,14593.1338204384,0.001
2014,PENNSYLVANIA,69462.5162646382,0.001
2014,CALIFORNIA,132118.907016315,0.001
2014,MINNESOTA,22019.8178360524,0.001
2014,WISCONSIN,30627.5648083275,0.001
2014,NORTH CAROLINA,25522.9706736063,0.001
2014,OHIO,16014.4129716745,0.001
2014,CALIFORNIA,45044.5400860775,0.001
2014,INDIANA,55049.5445901311,0.001
2014,NEW HAMPSHIRE,79071.1640476429,0.001
2014,TEXAS,60054.0486437794,0.001
2014,TEXAS,35031.528375538,0.001
2014,GEORGIA,10309.2783505155,0.001
2014,NEVADA,191172.054849364,0.001
2014,KANSAS,18016.2145931338,0.001
2014,GEORGIA,7706.93624261836,0.001
2014,MISSOURI,182213.992593334,0.001
2014,MISSOURI,38915.0235211691,0.001
2014,ILLINOIS,12271.0439395456,0.001
2014,NEW YORK,12511.2601341207,0.001
2014,NORTH CAROLINA,65058.5526974277,0.001
2014,TEXAS,36032.4291862676,0.001
2014,ILLINOIS,66059.4535081574,0.001
2014,MICHIGAN,120008.007206486,0.001
2014,OHIO,121389.250325293,0.001
2014,ALABAMA,65058.5526974277,0.001
2014,NEW YORK,40036.0324291863,0.001
2014,WASHINGTON,70063.056751076,0.001
2014,FLORIDA,110099.089180262,0.001
2014,NEW YORK,165148.633770393,0.001
2014,MASSACHUSETTS,140126.113502152,0.001
2014,CALIFORNIA,169152.237013312,0.001
2014,VIRGINIA,2001.80162145931,0.001
2014,CALIFORNIA,53047.7429686718,0.001
2014,CALIFORNIA,80672.6053448104,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,IOWA,94985.4869382444,0.001
2014,FLORIDA,20018.0162145931,0.001
2014,NEW MEXICO,135121.609448504,0.001
2014,FLORIDA,65659.0931838655,0.001
2014,MISSISSIPPI,86077.4697227505,0.001
2014,MICHIGAN,127164.448003203,0.001
2014,GEORGIA,27024.3218897007,0.001
2014,GEORGIA,46041.4372935642,0.001
2014,MAINE,3202.8825943349,0.001
2014,MARYLAND,60054.0486437794,0.001
2014,ALABAMA,65058.5526974277,0.001
2014,NEW JERSEY,125613.051746572,0.001
2014,MAINE,3202.8825943349,0.001
2014,MARYLAND,137123.411069963,0.001
2014,INDIANA,64257.832048844,0.001
