year,state,income,weights
2014,ILLINOIS,64858.3725352818,0.001
2014,SOUTH CAROLINA,83575.2176959263,0.001
2014,ARIZONA,51045.9413472125,0.001
2014,OHIO,8507.65689120208,0.001
2014,TEXAS,22019.8178360524,0.001
2014,MICHIGAN,70163.1468321489,0.001
2014,NEW YORK,12811.5303773396,0.001
2014,WISCONSIN,30627.5648083275,0.001
2014,TENNESSEE,183064.758282454,0.001
2014,MICHIGAN,127164.448003203,0.001
2014,CALIFORNIA,108097.287558803,0.001
2014,GEORGIA,15013.5121609449,0.001
2014,TEXAS,140526.473826444,0.001
2014,PENNSYLVANIA,103793.414072665,0.001
2014,TEXAS,35031.528375538,0.001
2014,MICHIGAN,20018.0162145931,0.001
2014,MICHIGAN,20918.8269442498,0.001
2014,GEORGIA,27734.9614653188,0.001
2014,NEW YORK,216194.575117606,0.001
2014,TEXAS,75367.8310479432,0.001
2014,ILLINOIS,24021.6194575118,0.001
2014,CALIFORNIA,47943.1488339506,0.001
2014,NEW HAMPSHIRE,119907.917125413,0.001
2014,WASHINGTON,71964.7682914623,0.001
2014,ARKANSAS,21869.682714443,0.001
2014,MINNESOTA,250225.202682414,0.001
2014,ALABAMA,16695.0255229707,0.001
2014,OHIO,103292.963667301,0.001
2014,OHIO,118106.2956661,0.001
2014,VIRGINIA,21319.1872685417,0.001
2014,GEORGIA,22520.2682414173,0.001
2014,KENTUCKY,40036.0324291863,0.001
2014,WEST VIRGINIA,18416.5749174257,0.001
2014,NEW JERSEY,27224.5020518467,0.001
2014,TEXAS,70063.056751076,0.001
2014,TEXAS,156140.526473826,0.001
2014,ILLINOIS,18016.2145931338,0.001
2014,MARYLAND,43128.8159343409,0.001
2014,CALIFORNIA,16014.4129716745,0.001
2014,OREGON,130118.106295666,0.001
2014,MICHIGAN,12511.2601341207,0.001
2014,WISCONSIN,172455.20968872,0.001
2014,FLORIDA,500.450405364828,0.001
2014,WASHINGTON,125412.871584426,0.001
2014,MISSOURI,90081.0729656691,0.001
2014,WISCONSIN,30627.5648083275,0.001
2014,MARYLAND,24522.0698628766,0.001
2014,PENNSYLVANIA,27324.5921329196,0.001
2014,ILLINOIS,89280.3523170854,0.001
2014,VIRGINIA,90581.5233710339,0.001
2014,NEW YORK,83074.7672905615,0.001
2014,MINNESOTA,17215.4939445501,0.001
2014,TEXAS,36933.2399159243,0.001
2014,WYOMING,60554.4990491442,0.001
2014,WASHINGTON,83475.1276148534,0.001
2014,FLORIDA,41237.1134020619,0.001
2014,OHIO,125112.601341207,0.001
2014,MISSOURI,35231.7085376839,0.001
2014,TEXAS,52046.8421579422,0.001
2014,GEORGIA,21819.6376739065,0.001
2014,DELAWARE,34130.7176458813,0.001
2014,NEW YORK,240216.194575118,0.001
2014,MAINE,3202.8825943349,0.001
2014,MINNESOTA,70163.1468321489,0.001
2014,TEXAS,8507.65689120208,0.001
2014,TENNESSEE,11910.7196476829,0.001
2014,TEXAS,98188.3695325793,0.001
2014,CALIFORNIA,44640.1761585427,0.001
2014,FLORIDA,102792.513261936,0.001
2014,TEXAS,65358.8229406466,0.001
2014,CALIFORNIA,146201.581423281,0.001
2014,UTAH,35431.8886998299,0.001
2014,CALIFORNIA,809728.755880292,0.001
2014,MICHIGAN,6846.16154539085,0.001
2014,TEXAS,69062.1559403463,0.001
