product_ids,make_model,year,plant_country,pcUSCA_pct
2016_acura_ilx,acura_ilx,2016,United States,0.6
2016_acura_mdx,acura_mdx,2016,United States,0.65
2016_acura_rdx,acura_rdx,2016,United States,0.7
2016_acura_tlx,acura_tlx,2016,United States,0.65
2016_bmw_x3,bmw_x3,2016,United States,0.1
2016_bmw_x4,bmw_x4,2016,United States,0.15
2016_buick_enclave,buick_enclave,2016,United States,0.8
2016_buick_lacrosse,buick_lacrosse,2016,United States,0.65
2016_buick_verano,buick_verano,2016,United States,0.61
2016_cadillac_ats,cadillac_ats,2016,United States,0.6
2016_cadillac_ct6,cadillac_ct6,2016,United States,0.6
2016_cadillac_cts,cadillac_cts,2016,United States,0.6
2016_cadillac_escalade,cadillac_escalade,2016,United States,0.65
2016_chevrolet_camaro,chevrolet_camaro,2016,United States,0.6
2016_chevrolet_colorado,chevrolet_colorado,2016,United States,0.61
2016_chevrolet_corvette,chevrolet_corvette,2016,United States,0.66
2016_chevrolet_cruze,chevrolet_cruze,2016,United States,0.6
2016_chevrolet_cruzelimited,chevrolet_cruzelimited,2016,United States,0.61
2016_chevrolet_malibuhybrid,chevrolet_malibuhybrid,2016,United States,0.65
2016_chevrolet_malibulimited,chevrolet_malibulimited,2016,United States,0.65
2016_chevrolet_silverado,chevrolet_silverado,2016,United States,0.45
2016_chevrolet_sonic,chevrolet_sonic,2016,United States,0.55
2016_chevrolet_suburban,chevrolet_suburban,2016,United States,0.65
2016_chevrolet_tahoe,chevrolet_tahoe,2016,United States,0.65
2016_chevrolet_traverse,chevrolet_traverse,2016,United States,0.8
2016_chevrolet_volthybrid,chevrolet_volthybrid,2016,United States,0.5
2016_ford_escape,ford_escape,2016,United States,0.55
2016_ford_expedition,ford_expedition,2016,United States,0.55
2016_ford_explorer,ford_explorer,2016,United States,0.6
2016_ford_f150,ford_f150,2016,United States,0.7
2016_ford_focus,ford_focus,2016,United States,0.46
2016_ford_mustang,ford_mustang,2016,United States,0.6
2016_ford_taurus,ford_taurus,2016,United States,0.61
2016_gmc_acadia,gmc_acadia,2016,United States,0.8
2016_gmc_canyon,gmc_canyon,2016,United States,0.61
2016_gmc_sierra,gmc_sierra,2016,United States,0.45
2016_gmc_yukon,gmc_yukon,2016,United States,0.65
2016_honda_accord,honda_accord,2016,United States,0.8
2016_honda_civic,honda_civic,2016,United States,0.7
2016_honda_crv,honda_crv,2016,United States,0.7
2016_honda_odyssey,honda_odyssey,2016,United States,0.75
2016_honda_pilot,honda_pilot,2016,United States,0.75
2016_hyundai_santafesport,hyundai_santafesport,2016,United States,0.51
2016_infiniti_qx60,infiniti_qx60,2016,United States,0.5
2016_infiniti_qx60hybrid,infiniti_qx60hybrid,2016,United States,0.5
2016_kia_sorento,kia_sorento,2016,United States,0.495
2016_lincoln_mkc,lincoln_mkc,2016,United States,0.55
2016_lincoln_mks,lincoln_mks,2016,United States,0.52
2016_lincoln_navigator,lincoln_navigator,2016,United States,0.52
2016_mercedesbenz_c,mercedesbenz_c,2016,United States,0.55
2016_mercedesbenz_gle,mercedesbenz_gle,2016,United States,0.6
2016_nissan_altima,nissan_altima,2016,United States,0.55
2016_nissan_frontier,nissan_frontier,2016,United States,0.5
2016_nissan_leafev,nissan_leafev,2016,United States,0.4
2016_nissan_murano,nissan_murano,2016,United States,0.55
2016_nissan_pathfinder,nissan_pathfinder,2016,United States,0.55
2016_subaru_legacy,subaru_legacy,2016,United States,0.45
2016_subaru_outback,subaru_outback,2016,United States,0.45
2016_toyota_avalon,toyota_avalon,2016,United States,0.7
2016_toyota_avalonhybrid,toyota_avalonhybrid,2016,United States,0.4
2016_toyota_camry,toyota_camry,2016,United States,0.75
2016_toyota_camryhybrid,toyota_camryhybrid,2016,United States,0.4
2016_toyota_highlander,toyota_highlander,2016,United States,0.7
2016_toyota_highlanderhybrid,toyota_highlanderhybrid,2016,United States,0.4
2016_toyota_sequoia,toyota_sequoia,2016,United States,0.65
2016_toyota_sienna,toyota_sienna,2016,United States,0.75
2016_toyota_tundra,toyota_tundra,2016,United States,0.65
2016_volkswagen_passat,volkswagen_passat,2016,United States,0.35333333333333333
2017_acura_ilx,acura_ilx,2017,United States,0.55
2017_acura_mdx,acura_mdx,2017,United States,0.7
2017_acura_mdxhybrid,acura_mdxhybrid,2017,United States,0.7
