,Unnamed: 0,market_ids,clustering_ids,firm_ids,shares,prices,sales,size,weight,engine_size,hp,mpg,vehicle_type,body_type,engine_type,drive_type,plant_country,plant_location,distw,home_mkt,market_year,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,subsidy,hpwt,ev,hybrid,brand_region,firm_region,euro_brand,us_brand,suv_d,van_d,truck_d,ln_mpg_icehyb,ln_mpg_ice,ln_mpg_ev,ln_mpg_hyb,log_size_std,log_hp_std,log_hpwt_std,log_weight_std,ln_mpg_std,ln_mpg_ev_std,ln_mpg_hyb_std,luxury_brand,demand_instruments0
324,324,2015,2015_acura_ilx,acura,0.00026255,0.2935,5169,0.878087444,2.959,2,1.5,2.8,Car,sedan,ICE,FWD,United States,Indiana,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.5069280162216965,0,0,OTHER,OTHER,0,0,0,0,0,1.0296194171811581,1.0296194171811581,0,0,-1.025202299,-1.363514741,-0.936144904,-1.359137199,0.547878748,-0.251869648,-0.353873595,1,1
325,325,2015,2015_acura_mdx,acura,0.00107448,0.4904,21154,1.037911045,4.103,3.5,2.9,2.3,SUV,suv,ICE,FWD,United States,Alabama,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.7067999025103583,0,0,OTHER,OTHER,0,0,1,0,0,0.8329091229351039,0.8329091229351039,0,0,0.083856794,0.36764516503586886,0.38618028713499647,0.20551497036147723,-0.030395322,-0.251869648,-0.353873595,1,1
326,326,2015,2015_acura_rdx,acura,0.001413322,0.36495,27825,0.9391631343380001,3.732,3.5,2.73,2.3,SUV,suv,ICE,FWD,United States,Ohio,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.7315112540192925,0,0,OTHER,OTHER,0,0,1,0,0,0.8329091229351039,0.8329091229351039,0,0,-0.579221904,0.20901254708490832,0.5228970019098632,-0.248151294,-0.030395322,-0.251869648,-0.353873595,1,1
327,327,2015,2015_acura_rlx,acura,5.9517050487111256e-05,0.5445,1158,1.013183268,3.955,3.5,3.1,2.4,Car,sedan,ICE,FWD,Japan,Japan,10286.19,0,2015,0.854645559,0.972696106,103.449739,103.0520759,0.007060617,0.009181161,2015,0,0,0,0.7838179519595448,0,0,OTHER,OTHER,0,0,0,0,0,0.8754687373538999,0.8754687373538999,0,0,-0.076069205,0.542774781,0.7976599181634114,0.029657846244753924,0.094718219,-0.251869648,-0.353873595,1,103.0520759
328,328,2015,2015_acura_tlx,acura,0.002343091,0.374375,46130,0.964715216,3.5905,3.5,2.9,2.5,Car,sedan,ICE,FWD,United States,Ohio,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.8076869516780393,0,0,OTHER,OTHER,0,0,0,0,0,0.9162907318741551,0.9162907318741551,0,0,-0.40118429,0.36764516503586886,0.9170021159077733,-0.43317518,0.2147236362941152,-0.251869648,-0.353873595,1,1
332,332,2015,2015_audi_a3,audi,0.001214974,0.356,23920,0.9403388287071999,3.241,2,1.7,2.7,Car,sedan,ICE,FWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0,0.5245294662141314,0,0,EU,EU,1,0,0,0,0,0.9932517730102834,0.9932517730102834,0,0,-0.570924346,-1.034839957,-0.800352804,-0.92339076,0.440967894,-0.251869648,-0.353873595,1,129.4149739
333,333,2015,2015_audi_a4,audi,0.000849974,0.385,16734,1.032189517,3.693,2,2.2,2.5,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.5957216355266721,0,0,EU,EU,1,0,0,0,0,0.9162907318741551,0.9162907318741551,0,0,0.047194448496622195,-0.357788192,-0.294018034,-0.298437493,0.2147236362941152,-0.251869648,-0.353873595,1,0.768937
334,334,2015,2015_audi_a5,audi,0.000305045,0.476,5994,1.005343686,3.682,2,2.2,2.5,Car,coupe,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.5975013579576318,0,0,EU,EU,1,0,0,0,0,0.9162907318741551,0.9162907318741551,0,0,-0.127587227,-0.357788192,-0.282150344,-0.312716817,0.2147236362941152,-0.251869648,-0.353873595,1,0.768937
335,335,2015,2015_audi_a6,audi,0.000465317,0.5045,9161,1.1054992348036001,3.957,2,2.2,2.3,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.5559767500631793,0,0,EU,EU,1,0,0,0,0,0.8329091229351039,0.8329091229351039,0,0,0.5022726280408749,-0.357788192,-0.568712691,0.032077874286799375,-0.030395322,-0.251869648,-0.353873595,1,0.768937
336,336,2015,2015_audi_a7,audi,5.719318985890586e-05,0.683,1126,1.143716593,4.2,3,3.1,2.1,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.7380952380952381,0,0,EU,EU,1,0,0,0,0,0.7419373447293773,0.7419373447293773,0,0,0.7276809440068729,0.542774781,0.5585442364173434,0.31736423349107645,-0.297827286,-0.251869648,-0.353873595,1,0.768937
337,337,2015,2015_audi_a8,audi,0.000202157,0.851,3980,1.1968707567335999,4.508,3,3.33,2.2,Car,sedan,ICE,AWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0,0.7386867790594499,0,0,EU,EU,1,0,0,0,0,0.7884573603642703,0.7884573603642703,0,0,1.0289716301561425,0.7307160309061126,0.5617313950534838,0.6561227094004309,-0.161071257,-0.251869648,-0.353873595,1,129.4149739
338,338,2015,2015_audi_q3,audi,0.000395477,0.346,7786,0.952895772,3.494,2,2,2.3,SUV,suv,ICE,FWD,Spain,Spain,7437.157,0,2015,0.737340106,0.879944451,0.664562,0.662359,0.818088353,1.169006893,2015,0,0,0,0.5724098454493417,0,0,EU,EU,1,0,1,0,0,0.8329091229351039,0.8329091229351039,0,0,-0.482944241,-0.60806996,-0.452827647,-0.563588407,-0.030395322,-0.251869648,-0.353873595,1,0.662359
339,339,2015,2015_audi_q5,audi,0.001538071,0.454,30281,1.0423416,4.354,3,2.4,2.3,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.5512172714745062,0,0,EU,EU,1,0,1,0,0,0.8329091229351039,0.8329091229351039,0,0,0.11210828194701013,-0.129298839,-0.602916428,0.4897395491342904,-0.030395322,-0.251869648,-0.353873595,1,0.768937
341,341,2015,2015_audi_q7,audi,0.00097909,0.599,19276,1.1920631181524002,5.412,3,2.4,2.2,SUV,suv,ICE,AWD,Slovakia,Slovakia,8289.6,0,2015,0.545233496,0.644870223,0.491417,0.485412,0.604943592,0.856710597,2015,0,0,0,0.44345898004434586,0,0,EU,EU,1,0,1,0,0,0.7884573603642703,0.7884573603642703,0,0,1.002276818161384,-0.129298839,-1.4683065,1.5309855659472424,-0.161071257,-0.251869648,-0.353873595,1,0.485412
345,345,2015,2015_audi_s3,audi,0.000125566,0.411,2465,0.943019384,3.45,2,2.92,2.6,Car,sedan,ICE,AWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0,0.8463768115942029,0,0,EU,EU,1,0,0,0,0,0.9555114450274363,0.9555114450274363,0,0,-0.552044835,0.38569314675757777,1.1031505388905765,-0.624251626,0.33002172729044543,-0.251869648,-0.353873595,1,129.4149739
346,346,2015,2015_audi_s4,audi,0.000151313,0.498,2979,1.0355353503923999,3.869,3,3.33,2,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.8606875161540449,0,0,EU,EU,1,0,0,0,0,0.6931471805599453,0.6931471805599453,0,0,0.068658441,0.7307160309061126,1.1698552535259295,-0.075578018,-0.441256926,-0.251869648,-0.353873595,1,0.768937
347,347,2015,2015_audi_s5,audi,0.000125856,0.5875,2473,1.0086561854459999,4.045,3,3.33,2.1,Car,coupe,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.823238566,0,0,EU,EU,1,0,0,0,0,0.7419373447293773,0.7419373447293773,0,0,-0.105770208,0.7307160309061126,0.9928755504974038,0.13736573604196228,-0.297827286,-0.251869648,-0.353873595,1,0.768937
351,351,2015,2015_audi_sq5,audi,0.000108773,0.527,2108,1.044624933,4.42,3,3.54,1.9,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.8009049773755657,0,0,EU,EU,1,0,1,0,0,0.6418538861723947,0.6418538861723947,0,0,0.12662112754580118,0.8913057728557836,0.883455551,0.5617559095513319,-0.59204508,-0.251869648,-0.353873595,1,0.768937
357,357,2015,2015_bmw_2series,bmw,0.000243655,0.321,4797,0.9452082728400001,3.3,2,2.4,2.7,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.7272727272727273,0,0,EU,EU,1,0,0,0,0,0.9932517730102834,0.9932517730102834,0,0,-0.536667958,-0.129298839,0.499778463,-0.837034006,0.440967894,-0.251869648,-0.353873595,1,0.768937
358,358,2015,2015_bmw_2seriesm,bmw,0.000170259,0.463,3352,0.9476318837959999,3.71,3,3.2,2.45,Car,convertible,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.862533693,0,0,EU,EU,1,0,0,0,0,0.8960880245566357,0.8960880245566357,0,0,-0.519683653,0.626145942,1.1783797276568624,-0.276452891,0.15533324281595115,-0.251869648,-0.353873595,1,0.768937
359,359,2015,2015_bmw_3series,bmw,0.003793238,0.395,74680,1.013888824,3.545,2,2.4,2.6,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.6770098730606487,0,0,EU,EU,1,0,0,0,0,0.9555114450274363,0.9555114450274363,0,0,-0.071452197,-0.129298839,0.21486470416411566,-0.494222913,0.33002172729044543,-0.251869648,-0.353873595,1,0.768937
361,361,2015,2015_bmw_4series,bmw,0.001533905,0.4625,30199,1.006836047,3.74,2,2.4,2.6,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.64171123,0,0,EU,EU,1,0,0,0,0,0.9555114450274363,0.9555114450274363,0,0,-0.11774925,-0.129298839,0.0018331,-0.23790115,0.33002172729044543,-0.251869648,-0.353873595,1,0.768937
362,362,2015,2015_bmw_5series,bmw,0.001765826,0.594,34765,1.1103249289391999,4.255,3,3,2.3,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.7050528789659225,0,0,EU,EU,1,0,0,0,0,0.8329091229351039,0.8329091229351039,0,0,0.5311610475144954,0.456669657,0.3763346280603053,0.3796418346040604,-0.030395322,-0.251869648,-0.353873595,1,0.768937
364,364,2015,2015_bmw_6series,bmw,0.000249598,0.866,4914,1.0965499298208001,4.365,3,3.15,2.3,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.7216494845360825,0,0,EU,EU,1,0,0,0,0,0.8329091229351039,0.8329091229351039,0,0,0.44836337853631536,0.5847912130927229,0.4688983290619871,0.5018177684148788,-0.030395322,-0.251869648,-0.353873595,1,0.768937
