,Unnamed: 0,market_ids,clustering_ids,firm_ids,shares,prices,sales,size,weight,engine_size,hp,mpg,vehicle_type,body_type,engine_type,drive_type,plant_country,plant_location,distw,home_mkt,market_year,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,subsidy,hpwt,ev,hybrid,brand_region,firm_region,euro_brand,us_brand,suv_d,van_d,truck_d,ln_mpg_icehyb,ln_mpg_ice,ln_mpg_ev,ln_mpg_hyb,log_size_std,log_hp_std,log_hpwt_std,log_weight_std,ln_mpg_std,ln_mpg_ev_std,ln_mpg_hyb_std,luxury_brand,demand_instruments0
324,324,2015,2015_acura_ilx,acura,0.0002625504,0.2935,5169,0.8780874438024,2.959,2.0,1.5,2.8,Car,sedan,ICE,FWD,United States,Indiana,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.5069280162216965,0,0,OTHER,OTHER,0,0,0.0,0.0,0.0,1.0296194171811581,1.0296194171811581,0.0,0.0,-1.0252022987027072,-1.3635147407412302,-0.936144903756808,-1.3591371992923917,0.547878747981016,-0.2518696476904785,-0.35387359523776113,1.0,1.0
325,325,2015,2015_acura_mdx,acura,0.0010744799999999998,0.4904,21154,1.0379110446848,4.103,3.5,2.9,2.3,SUV,suv,ICE,FWD,United States,Alabama,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.7067999025103583,0,0,OTHER,OTHER,0,0,1.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,0.08385679374920231,0.36764516503586886,0.38618028713499647,0.20551497036147723,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,1.0
326,326,2015,2015_acura_rdx,acura,0.0014133216,0.36495,27825,0.9391631343380001,3.732,3.5,2.73,2.3,SUV,suv,ICE,FWD,United States,Ohio,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.7315112540192925,0,0,OTHER,OTHER,0,0,1.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,-0.5792219042049844,0.20901254708490832,0.5228970019098632,-0.2481512936205028,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,1.0
327,327,2015,2015_acura_rlx,acura,5.9517050487111256e-05,0.5445,1158,1.0131832684896,3.955,3.5,3.1,2.4,Car,sedan,ICE,FWD,Japan,Japan,10286.19,0,2015,0.854645559,0.972696106,103.449739,103.0520759,0.007060617,0.009181161,2015,0,0,0.0,0.7838179519595448,0,0,OTHER,OTHER,0,0,0.0,0.0,0.0,0.8754687373538999,0.8754687373538999,0.0,0.0,-0.07606920451830954,0.542774780667398,0.7976599181634114,0.029657846244753924,0.09471821924691602,-0.2518696476904785,-0.35387359523776113,1.0,103.0520759
328,328,2015,2015_acura_tlx,acura,0.0023430912,0.374375,46130,0.964715216036,3.5905,3.5,2.9,2.5,Car,sedan,ICE,FWD,United States,Ohio,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.8076869516780393,0,0,OTHER,OTHER,0,0,0.0,0.0,0.0,0.9162907318741551,0.9162907318741551,0.0,0.0,-0.4011842895021077,0.36764516503586886,0.9170021159077733,-0.4331751795797765,0.2147236362941152,-0.2518696476904785,-0.35387359523776113,1.0,1.0
332,332,2015,2015_audi_a3,audi,0.0012149736,0.356,23920,0.9403388287071999,3.241,2.0,1.7,2.7,Car,sedan,ICE,FWD,Hungary,Hungary,8395.564,0,2015,0.474409365,0.556380252,132.5179539,129.4149739,0.001698368,0.002391987,2015,0,0,0.0,0.5245294662141314,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9932517730102834,0.9932517730102834,0.0,0.0,-0.5709243459813885,-1.0348399566099544,-0.8003528039393768,-0.9233907603001658,0.440967893745698,-0.2518696476904785,-0.35387359523776113,1.0,129.4149739
333,333,2015,2015_audi_a4,audi,0.0008499744,0.385,16734,1.0321895172732,3.693,2.0,2.2,2.5,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.5957216355266721,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9162907318741551,0.9162907318741551,0.0,0.0,0.047194448496622195,-0.35778819166852016,-0.29401803411114447,-0.2984374932428102,0.2147236362941152,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
334,334,2015,2015_audi_a5,audi,0.0003050448,0.476,5994,1.005343685658,3.682,2.0,2.2,2.5,Car,coupe,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.5975013579576318,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9162907318741551,0.9162907318741551,0.0,0.0,-0.12758722661210103,-0.35778819166852016,-0.28215034365570313,-0.3127168174634553,0.2147236362941152,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
335,335,2015,2015_audi_a6,audi,0.0004653168,0.5045,9161,1.1054992348036001,3.957,2.0,2.2,2.3,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.5559767500631793,0,0,EU,EU,1,0,0.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,0.5022726280408749,-0.35778819166852016,-0.5687126913650742,0.032077874286799375,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
336,336,2015,2015_audi_a7,audi,5.719318985890586e-05,0.683,1126,1.1437165934688,4.2,3.0,3.1,2.1,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.7380952380952381,0,0,EU,EU,1,0,0.0,0.0,0.0,0.7419373447293773,0.7419373447293773,0.0,0.0,0.7276809440068729,0.542774780667398,0.5585442364173434,0.31736423349107645,-0.29782728591814916,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
