Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DB11 AMR,2020_astonmartin_db11,PC,3%,66% UK,22% G,UK,,G,,G,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DBS,2020_astonmartin_dbs,PC,3%,66% UK,22% G,UK,,G,,G,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DB11 V8,2020_astonmartin_db11,PC,3%,66% UK,22% G,UK,,G,,G,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,Vantage,2020_astonmartin_vantage,PC,3%,66% UK,22% G,UK,,G,,G,,,
Audi,Audi,e-tron,2020_audi_etron,MPV,1%,25%G,,BE,,H,,,,,
Audi,Audi,e-tron Sportback,2020_audi_etron,MPV,1%,26%G,,BE,,H,,,,,
Audi,Audi,A3 ,2020_audi_a3,PC,0%,50%G,26%H,G,,H,,G (AWD),,,
Audi,Audi,A3 ,2020_audi_a3,PC,0%,47%G,30%H,G,,H,,G (FWD),,,
Audi,Audi,S3,2020_audi_s3,PC,0%,61%G,,G,,G,,G (AWD),,,
Audi,Audi,RS 3,2020_audi_rs3,PC,0%,45%G,37%H,G,,H,,G,,,
Audi,Audi,A4,2020_audi_a4,PC,1%,52%G,,G,,H,,G(AWD),,,
Audi,Audi,A4  ,2020_audi_a4,PC,1%,52%G,17%H,G,,H,,G(FWD),,,
Audi,Audi,S4,2020_audi_s4,PC,1%,50%G,22%H,G ,,H,,G,,,
Audi,Audi,allroad ,2020_audi_allroad,MPV,1%,49%G,,G,,H,,G,,,
Audi,Audi,A5 Cabriolet,2020_audi_a5,PC,1%,52%G,,G,,H,,G,,,
Audi,Audi,S5 Cabriolet,2020_audi_s5,PC,1%,43%G,26%H,G,,H,,H,,,
Audi,Audi,A5 Coupe,2020_audi_a5,PC,1%,51%G,16%H,G,,H,,G,,,
Audi,Audi,S5 Coupe ,2020_audi_s5,PC,1%,39%G,31%H,G,,H,,H,,,
Audi,Audi,A5 Sportback,2020_audi_a5,PC,1%,49%G,15%H,G,,H,,G,,,
Audi,Audi,S5 Sportback,2020_audi_s5,PC,1%,39%G,31%H,G,,H,,H,,,
Audi,Audi,A6,2020_audi_a6,PC,1%,51%G,15%H,G,,H,,G,,,
Audi,Audi,S6,2020_audi_s6,PC,0%,52%G,24%H,G,,H,,G,,,
Audi,Audi,A6 allroad,2020_audi_a6,PC,1%,47%G,19%H,G,,H,,G,,,
Audi,Audi,A7 ,2020_audi_a7,PC,1%,44%G,22%H,G,,H,,G,,,
Audi,Audi,S7,2020_audi_s7,PC,0%,50%G,24%H,G,,H,,G,,,
Audi,Audi,A8,2020_audi_a8,PC,1%,68%G,,G,,G,,G,,,
Audi,Audi,A8L  ,2020_audi_a8,PC,1%,46%G,22%H,G,,H,,H,,,
