Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DB11 AMR,2022_astonmartin_db11,PC,3%,66% UK,22% G,UK,,G,,G,,,,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DBS,2022_astonmartin_dbs,PC,3%,66% UK,22% G,UK,,G,,G,,,,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,DB11 V8,2022_astonmartin_db11,PC,3%,66% UK,22% G,UK,,G,,G,,,,,,
"Aston Martin Lagonda, Ltd.",Aston Martin,Vantage,2022_astonmartin_vantage,PC,3%,66% UK,22% G,UK,,G,,G,,,,,,
Audi,Audi,e-tron,2022_audi_etron,MPV,1%,33% PL,23% G,BE,,PL,,H,,,,,,
Audi,Audi,e-tron S ,2022_audi_etrons,MPV,1%,46% H,22% G,BE,,H,,H,,,,,,
Audi,Audi,e-tron Sportback,2022_audi_etron,MPV,1%,32% PL,23% G,BE,,PL,,H,,,,,,
Audi,Audi,e-tron S Sportback,2022_audi_etron,MPV,1%,46% H,21% G,BE,,H,,H,,,,,,
Audi,Audi,e-tron GT,2022_audi_etrongt,PC,1%,56% G,19% PL,G,,G,,G,Battery: PL,,,,,
Audi,Audi,RS e-tron GT,2022_audi_rsetrongt,PC,1%,55% G,20% PL,G,,G,,G,Battery: PL,,,,,
Audi,Audi,A3 40 FWD,2022_audi_a3,PC,1%,54% G,17% H,G,,H,,G,,,,,,
Audi,Audi,A3 40 quattro,2022_audi_a3,PC,1%,57% G, ,G,,H,,G,,,,,,
Audi,Audi,S3,2022_audi_s3,PC,1%,60% G,,G,,H,,G,,,,,,
Audi,Audi,RS 3,2022_audi_rs3,PC,0%,45%G,37%H,G,,H,,G,,,,,,
Audi,Audi,A4 40,2022_audi_a4,PC,2%,49% G,17% H,G,,H,,G,,,,,,
Audi,Audi,A4 45,2022_audi_a4,PC,2%,49% G,15% H,G,,H,,G,,,,,,
Audi,Audi,S4,2022_audi_s4,PC,1%,44% G,31% H,G ,,H,,H,,,,,,
Audi,Audi,A4 allroad 45,2022_audi_a4allroad,MPV,2%,48% G,,G,,H,,G,,,,,,
Audi,Audi,A5 Cabriolet 45,2022_audi_a5,PC,2%,54% G,,G,,H,,G,,,,,,
Audi,Audi,S5 Cabriolet,2022_audi_s5,PC,1%,46% G,25% H,G,,H,,H,,,,,,
Audi,Audi,A5 Coupe S line 45,2022_audi_a5,PC,2%,50% G,15% H,G,,H,,G,,,,,,
