Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2
Audi,Audi,e-tron,2023_audi_etron,MPV,1%,46% H,22% G,BE,,H,,H,
Audi,Audi,e-tron S ,2023_audi_etrons,MPV,1%,47% H,21% G,BE,,H,,H,
Audi,Audi,e-tron Sportback,2023_audi_etron,MPV,1%,46% H,22% G,BE,,H,,H,
Audi,Audi,e-tron S Sportback,2023_audi_etron,MPV,1%,47% H,21% G,BE,,H,,H,
Audi,Audi,e-tron GT,2023_audi_etrongt,PC,1%,47% G,23% PL,G,,PL,,G,Battery: PL
Audi,Audi,RS e-tron GT,2023_audi_rsetrongt,PC,1%,48% G,21% PL,G,,PL,,G,Battery: PL
Audi,Audi,A3 40 FWD,2023_audi_a3,PC,1%,54% G,23% H,G,,H,,G,
Audi,Audi,A3 40 quattro,2023_audi_a3,PC,0%,52% G , ,G,,H,,G,
Audi,Audi,S3,2023_audi_s3,PC,0%,52% G ,,G,,H,,G,
Audi,Audi,RS3,2023_audi_rs3,PC,1%,46% G,28% H,G,,H,,G,
Audi,Audi,A4 40,2023_audi_a4,PC,1%,50% G, ,G,,H,,G,
Audi,Audi,A4 45,2023_audi_a4,PC,1%,50% G, ,G,,H,,G,
Audi,Audi,S4,2023_audi_s4,PC,1%,38% G,29% H,G ,,H,,H,
Audi,Audi,A4 allroad 45,2023_audi_a4allroad,MPV,1%,46% G,,G,,H,,G,
Audi,Audi,A5 Cabriolet S line 45,2023_audi_a5,PC,1%,50% G,,G,,H,,G,
Audi,Audi,A5 Coupe S line 45,2023_audi_a5,PC,1%,48% G, ,G,,H,,G,
Audi,Audi,A5 Sportback 40,2023_audi_a5,PC,1%,45% G, ,G,,H,,G,
Audi,Audi,A5 Sportback S line 45,2023_audi_a5,PC,1%,48% G, ,G,,H,,G,
Audi,Audi,S5 Coupe ,2023_audi_s5,PC,1%,38% G,29% H,G,,H,,H,
Audi,Audi,RS5 Coupe,2023_audi_rs5,PC,1%,40% G,28% H,G,,H,,H,
Audi,Audi,S5 Cabriolet,2023_audi_s5,PC,1%,41% G,24% H,G,,H,,H,
Audi,Audi,S5 Sportback,2023_audi_s5,PC,1%,38% G,29% H,G,,H,,H,
Audi,Audi,RS5 Sportback,2023_audi_rs5,PC,1%,37% G,32% H,G,,H,,H,
