Manufacturers,Makes,Carlines,year_make_model,check,,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,allowed_names,
Audi,Audi,e-tron GT,2024_audi_etrongtev,TRUE,OK,PC,1%,45% G,29% PL,G,,PL,,G,Battery: PL,,2024_acura_integra,TRUE
Audi,Audi,RS e-tron GT,2024_audi_rsetrongtev,TRUE,OK,PC,1%,47% G,26% PL,G,,PL,,G,Battery: PL,,2024_acura_mdx,TRUE
Audi,Audi,A3 40 FWD,2024_audi_a3,TRUE,OK,PC,0%,52% G,15% H,G,,H,,G,,,2024_acura_rdx,TRUE
Audi,Audi,A3 45 AWD,2024_audi_a3,TRUE,OK,PC,0%,54% G,,G,,H,,G,,,2024_acura_tlx,TRUE
Audi,Audi,A4 40,2024_audi_a4,TRUE,OK,PC,1%,52% G,,G,,H,,G,,,2024_acura_zdxev,TRUE
Audi,Audi,A4 45,2024_audi_a4,TRUE,OK,PC,1%,48% G,,G,,H,,G,,,2024_alfaromeo_giulia,TRUE
Audi,Audi,A4 allroad 45,2024_audi_a4allroad,TRUE,OK,MPV,1%,47% G,,G,,H,,G,,,2024_alfaromeo_stelvio,TRUE
Audi,Audi,A5 Cabriolet 45,2024_audi_a5,TRUE,OK,PC,1%,60% G,,G,,H,,G,,,2024_alfaromeo_tonalehybrid,TRUE
Audi,Audi,A5 Coupe S line 45,2024_audi_a5,TRUE,OK,PC,1%,50% G,,G,,H,,G,,,2024_astonmartin_db12,FALSE
Audi,Audi,A5 Sportback 40,2024_audi_a5,TRUE,OK,PC,1%,47% G,15% H,G,,H,,G,,,2024_astonmartin_dbx,FALSE
Audi,Audi,A5 Sportback S line 45,2024_audi_a5,TRUE,OK,PC,1%,50% G,,G,,H,,G,,,2024_astonmartin_valour,FALSE
Audi,Audi,A6 45,2024_audi_a6,TRUE,OK,PC,1%,49% G,,G,,H,,G,,,2024_audi_a3,TRUE
Audi,Audi,A6 55,2024_audi_a6,TRUE,OK,PC,1%,47% G,19% H,G,,H,,G,,,2024_audi_a4,TRUE
Audi,Audi,A6 allroad,2024_audi_a6allroad,TRUE,OK,PC,1%,44% G,18% H,G,,H,,G,,,2024_audi_a4allroad,TRUE
Audi,Audi,A7 55,2024_audi_a7,TRUE,OK,PC,1%,44% G,19% H,G,,H,,G,,,2024_audi_a5,TRUE
Audi,Audi,A8L 55,2024_audi_a8,TRUE,OK,PC,1%,44% G,20% H,G,,H,,H,,,2024_audi_a6,TRUE
Audi,Audi,Q3 40,2024_audi_q3,TRUE,OK,MPV,1%,28% H,28% G,H,,H,,JP,,,2024_audi_a6allroad,TRUE
Audi,Audi,Q3 S line 45,2024_audi_q3,TRUE,OK,MPV,1%,46% H,24% G,H,,H,,JP,,,2024_audi_a7,TRUE
Audi,Audi,Q4 e-tron 40 RWD,2024_audi_q4etronev,TRUE,OK,MPV,0%,93% G,,G,BE,G,,G,,,2024_audi_a8,TRUE
Audi,Audi,Q4 e-tron 45,2024_audi_q4etronev,TRUE,OK,MPV,1%,86% G,,G,BE,G,,G,,,2024_audi_etrongtev,TRUE
Audi,Audi,Q4 e-tron 50,2024_audi_q4etronev,TRUE,OK,MPV,0%,94% G,,G,BE,G,,G,,,2024_audi_q3,TRUE
