year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2024_audi_etrongtev,PC,1%,45% G,29% PL,G
2024_audi_rsetrongtev,PC,1%,47% G,26% PL,G
2024_audi_a3,PC,0%,52% G,15% H,G
2024_audi_a3,PC,0%,54% G,,G
2024_audi_a4,PC,1%,52% G,,G
2024_audi_a4,PC,1%,48% G,,G
2024_audi_a4allroad,MPV,1%,47% G,,G
2024_audi_a5,PC,1%,60% G,,G
2024_audi_a5,PC,1%,50% G,,G
2024_audi_a5,PC,1%,47% G,15% H,G
2024_audi_a5,PC,1%,50% G,,G
2024_audi_a6,PC,1%,49% G,,G
2024_audi_a6,PC,1%,47% G,19% H,G
2024_audi_a6allroad,PC,1%,44% G,18% H,G
2024_audi_a7,PC,1%,44% G,19% H,G
2024_audi_a8,PC,1%,44% G,20% H,G
2024_audi_q3,MPV,1%,28% H,28% G,H
2024_audi_q3,MPV,1%,46% H,24% G,H
2024_audi_q4etronev,MPV,0%,93% G,,G
2024_audi_q4etronev,MPV,1%,86% G,,G
2024_audi_q4etronev,MPV,0%,94% G,,G
2024_audi_q4etronev,MPV,1%,87% G,,G
2024_audi_q4etronev,MPV,0%,95% G,,G
2024_audi_q4etronev,MPV,1%,88% G,,G
2024_audi_q5,MPV,2%,70% M,20% G,M
2024_audi_q5,MPV,2%,78% M,20% G,M
2024_audi_q5,MPV,1%,51% M,42% G,M
2024_audi_q5hybrid,MPV,2%,78% M,19% G,M
2024_audi_q7,MPV,1%,31% SL,22% H,SL
2024_audi_q7,MPV,1%,33% SL,23% G,SL
2024_audi_q8,MPV,1%,51% G,23% SL,SL
2024_audi_q8,MPV,1%,53% H,16% G,BE
2024_audi_q8etronev,MPV,1%,53% H,16% G,BE
2024_audi_q8etronev,MPV,1%,53% H,16% G,BE
2024_audi_rs3,PC,1%,48% G,27% H,G
2024_audi_rs5,PC,1%,39% G,30% H,G
2024_audi_rs5,PC,1%,39% G,31% H,G
2024_audi_rs6,PC,1%,60% G,,G
2024_audi_rs7,PC,1%,56% G,,G
2024_audi_rsq8,MPV,1%,49% G,26% SL,SL
2024_audi_s3,PC,0%,56% G,,G
2024_audi_s4,PC,1%,39% G,30% H,G
2024_audi_s5,PC,1%,48% G,25% H,G
2024_audi_s5,PC,1%,39% G,30% H,G
2024_audi_s5,PC,1%,41% G,29% H,G
2024_audi_s6,PC,1%,37% G,26% H,G
2024_audi_s7,PC,1%,39% G,26% H,G
2024_audi_s8,PC,1%,63% G,,G
2024_audi_sq5,MPV,2%,68% M,21% H,M
2024_audi_sq5,MPV,2%,68% M,20% H,M
2024_audi_sq7,MPV,1%,54% G,26% SL,SL
2024_audi_sq8,MPV,1%,28% SL,25% H,SL
2024_audi_sq8etronev,MPV,1%,53% H,16% G,BE
2024_audi_sq8etronev,MPV,1%,53% H,16% G,BE
2024_bentley_bentayga,MPV,0%,65% G,,UK
2024_bentley_bentayga,MPV,0%,64% G,,UK
2024_bentley_bentaygahybrid,MPV,0%,50% G,,UK
2024_bentley_continental,PC,0%,68% G,16% UK,UK
2024_bentley_continental,PC,0%,65% G,15% UK,UK
2024_bentley_continental,PC,0%,68% G,,UK
2024_bentley_continental,PC,0%,66% G,,UK
2024_bentley_flyingspur,PC,0%,64% G,15% UK,UK
2024_bentley_flyingspur,PC,0%,69% G,15% UK,UK
2024_bentley_flyingspurhybrid,PC,0%,59% G,15% UK,UK
