Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Afghanistan,AFG,46.452461,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.86608577,68.02690408,72.08324718,77.73794918,76.81353644,,,,
Angola,AGO,91.90572034,93.93475,95.46795542,96.51827948,98.30241686,120.0607017,163.6564341,165.9159507,252.8557477,364.825805,578.2587803,631.4419555,460.5675116,685.0202378,869.8461896
Albania,ALB,103.9366667,100.8958333,108.1841667,105.6691667,105.48,125.9616667,124.1425,119.1,107.9891667,109.8508333,108.65,103.52,113.0416667,100.645,93.12333333
United Arab Emirates,ARE,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725
Argentina,ARG,3.896295154,4.110139576,4.53693436,5.459352665,8.075275993,9.233185525,14.75817509,16.56270693,28.09499167,48.14789167,70.53916667,94.99074167,130.61655,296.2580417,914.6948833
Armenia,ARM,373.6604667,372.5008824,401.7639756,409.6257493,415.9197892,477.9183066,480.4881508,482.7163938,482.9879466,480.4451288,489.0088586,503.769675,435.6661797,392.4763022,392.7295514
American Samoa,ASM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,ATG,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,AUS,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459,1.505191066,1.515358039
Austria,AUT,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Azerbaijan,AZE,0.80265,0.789686389,0.785645349,0.784541075,0.7843475,1.024563819,1.595721573,1.721154802,1.700016667,1.7,1.7,1.7,1.7,1.7,1.7
Burundi,BDI,1230.748333,1261.073333,1442.505625,1555.090833,1546.686667,1571.898333,1654.626667,1729.055,1782.876875,1845.622891,1915.046176,1975.950881,2034.306634,2574.051749,
Belgium,BEL,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Benin,BEN,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9508138,574.2945496,554.6077989,622.9123482,606.6549823,606.3452976
Burkina Faso,BFA,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Bangladesh,BGD,69.64929167,74.1524,81.86265833,78.103235,77.64140833,77.94690833,78.46809167,80.43754167,83.46620192,84.4535225,84.87139167,85.08376325,91.74545444,106.3094843,115.6036538
Bulgaria,BGR,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667,1.735458333,1.657041667,1.747041667,1.716333333,1.653775,1.860141667,1.808966667,1.807841667
Bahrain,BHR,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Bahamas, The",BHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024,1.735352713,1.656985441,1.747086461,1.716970495,1.653606154,1.859325877,1.8092028,1.807563562
Belarus,BLR,0.297851,0.497463333,0.833689833,0.88800525,1.02241025,1.592598833,1.989562833,1.932341667,2.037608333,2.091783333,2.439575,2.538675,2.6261,3.00735,3.246191667
Belize,BLZ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bermuda,BMU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,7.016666667,6.9369625,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Brazil,BRA,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422,3.191389446,3.653825361,3.944471097,5.155178788,5.39440079,5.163970291,4.994379763,5.388934906
Barbados,BRB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,BRN,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877,1.380891164,1.348918565,1.364218514,1.37970343,1.343806963,1.378956397,1.343079601,1.336033277
Bhutan,BTN,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.59927645,83.66928158
Botswana,BWA,6.793625,6.838233333,7.640525,8.398908333,8.976083333,10.12899167,10.90115833,10.34741667,10.199975,10.75586667,11.45624167,11.08725833,12.36880833,13.59638333,13.56313333
Central African Republic,CAF,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Canada,CAN,1.030112735,0.989258159,0.999364744,1.030137364,1.104747132,1.278786204,1.325615164,1.297935846,1.295817928,1.326793363,1.341152672,1.253876902,1.301554775,1.349908641,1.369359766
Switzerland,CHE,1.042905646,0.888042028,0.937684481,0.926903548,0.916151047,0.962381328,0.985394394,0.984691667,0.977891667,0.993709167,0.938965,0.913845833,0.9548325,0.89849,0.880440833
Channel Islands,CHI,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581
Chile,CHL,510.2491667,483.6675,486.4713034,495.2728776,570.3482161,654.1240843,676.957736,648.8337926,641.2768131,702.8974226,792.7272061,758.9553787,873.3141895,840.0665267,943.5721674
China,CHN,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501,6.900767269,6.44897518,6.737158112,7.083998423,7.197491108
Cote d'Ivoire,CIV,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Cameroon,CMR,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
"Congo, Dem. Rep.",COD,905.9134583,919.4913,919.7550167,919.5659074,925.2262825,925.9849613,1010.302757,1464.417932,1622.523502,1647.760127,1851.122162,1989.391471,2006.708219,2340.035704,
"Congo, Rep.",COG,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Colombia,COL,1898.9975,1848.016667,1798.011667,1868.895,2001.105,2741.781667,3055.255,2951.486911,2955.70397,3281.622194,3693.275833,3744.244167,4256.194167,4325.955,4074.434167
Comoros,COM,371.0956967,353.4364693,382.9172538,370.4247179,370.3179974,443.4087735,444.4542113,435.4925622,416.5848438,439.4631103,430.7209122,415.9558491,467.1842612,454.9912367,454.5238613
Cabo Verde,CPV,83.27868938,79.27688148,86.31895418,83.0725,83.0345,99.38569354,99.68811364,97.80693777,93.41357891,98.49517859,96.79574279,93.21809241,104.8630658,101.8048125,101.9220108
Costa Rica,CRI,525.8292007,505.6642399,502.901462,499.7668326,538.3172003,534.56577,544.7393672,567.5130903,576.9725012,587.2945957,584.900855,620.78472,647.1358176,544.0507755,515.1097719
Curacao,CUW,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Cayman Islands,CYM,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333
Cyprus,CYP,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Czechia,CZE,19.09825,17.69591667,19.5775,19.57058333,20.7575,24.59875,24.43991667,23.37633333,21.72991667,22.93225,23.21025,21.67816667,23.357,22.19808333,23.21683333
Germany,DEU,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Djibouti,DJI,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721
Dominica,DMA,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Denmark,DNK,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417
Dominican Republic,DOM,36.82129187,38.08758487,39.32030084,41.79450343,43.54967262,45.04549907,46.06444394,47.5343582,49.50999286,51.29485833,56.52453333,57.22111667,55.14099167,56.1576,59.56513333
Algeria,DZA,74.38598333,72.93788333,77.53596667,79.3684,80.57901667,100.6914333,109.4430667,110.9730167,116.5937917,119.3535583,126.7768,135.0640583,141.994975,135.8429333,134.0532417
Ecuador,ECU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Egypt, Arab Rep.",EGY,5.621942918,5.932827652,6.056058333,6.870325,7.077608561,7.691258333,10.02540079,17.78253352,17.76729042,16.77058184,15.75917292,15.64452728,19.16043974,30.6264137,45.29926
Euro area,EMU,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Eritrea,ERI,15.375,15.375,15.375,15.375,15.375,15.375,15.35,15.075,15.075,15.075,15.075,15.075,15.075,15.075,15.075
Spain,ESP,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Estonia,EST,11.80684823,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Ethiopia,ETH,14.40958981,16.89922576,17.70476138,18.62662896,19.58578991,20.57684875,21.73154722,23.86610446,27.42938659,29.06975,34.9271654,43.73377832,51.75621503,54.60094807,
Finland,FIN,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Fiji,FJI,1.918508678,1.790883831,1.789892817,1.841476617,1.887345358,2.097629816,2.094695939,2.066875304,2.087379789,2.160393115,2.168804924,2.070633333,2.201406987,2.250125,2.2683
France,FRA,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Faroe Islands,FRO,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417
"Micronesia, Fed. Sts.",FSM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,GAB,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
United Kingdom,GBR,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581
Georgia,GEO,1.782341667,1.68649543,1.651258333,1.66335,1.765666667,2.269341667,2.366725,2.509541667,2.534110833,2.818145,3.109016667,3.221558333,2.9162,2.627958333,2.720616667
Ghana,GHA,1.429983333,1.520625,1.824866667,1.98135,2.896575,3.714641667,3.909816667,4.350533333,4.585325,5.217366667,5.595708333,5.8057,8.2724,11.02040833,
Gibraltar,GIB,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581
Guinea,GIN,5726.071021,6658.031258,6985.829026,6907.87807,7014.118777,7485.516742,8967.92708,9088.319496,9011.134177,9183.875864,9565.082183,,,,
"Gambia, The",GMB,28.01195366,29.46152006,32.07713389,35.95758683,41.73296165,42.50620809,43.37252767,46.60890946,48.15178064,50.06246137,51.50166037,51.48444388,54.92346736,61.09633301,
Guinea-Bissau,GNB,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Equatorial Guinea,GNQ,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976
Greece,GRC,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Grenada,GRD,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Greenland,GRL,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417
Guatemala,GTM,8.057770833,7.785418333,7.833605417,7.85681375,7.732233333,7.654815,7.599937083,7.34793875,7.519164583,7.696698333,7.72165,7.734388333,7.74824375,7.831974167,7.7585375
Guam,GUM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guyana,GUY,203.6358333,204.0175,204.3583333,205.3941667,206.4491667,206.5,206.5,206.5,207.7166667,208.5,208.5,208.5,208.5,208.5,208.5
"Hong Kong SAR, China",HKG,7.769166667,7.784,7.756416667,7.756,7.754083333,7.75175,7.76225,7.79325,7.8385,7.835916667,7.75725,7.77325,7.831416667,7.829583333,7.803833333
Honduras,HND,18.8951,18.91714167,19.50224951,20.35377917,20.98715833,21.945175,22.83501839,23.48708394,23.90272829,24.50853891,24.58188052,24.01665532,24.48587373,24.60164682,24.79928244
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,
Croatia,HRV,5.498010583,5.34386975,5.850291833,5.704880167,5.748165417,6.85830375,6.805990167,6.623831,6.27902525,6.622545167,6.6140555,6.360083167,7.1597415,0.924839558,0.923889546
Haiti,HTI,39.7974,40.52282194,41.94972295,43.46278333,45.21598089,50.70642667,63.33581837,64.76968028,68.03175398,88.81496618,93.50980721,89.22663651,115.6307155,141.0359127,131.8109917
Hungary,HUN,207.9441667,201.055,225.1041667,223.695,232.6016667,279.3325,281.5233333,274.4333333,270.2116667,290.66,307.9966667,303.1408333,372.5958333,353.0883333,365.6908333
Indonesia,IDN,9090.433333,8770.433333,9386.629167,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439,14849.85394,15236.88466,15855.44829
Isle of Man,IMN,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581
India,IND,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.59927645,83.66928158
Ireland,IRL,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
"Iran, Islamic Rep.",IRN,10254.17647,10616.30664,12175.54722,18414.44801,25941.66414,29011.49138,30914.85244,33226.29815,40864.32901,42000,42000,42000,42000,42000,
Iraq,IRQ,1170,1170,1166.166667,1166,1166,1167.333333,1182,1184,1182.75,1182,1192,1450,1450,1312.5,1300
Iceland,ISL,122.2418112,115.9540398,125.082787,122.1791213,116.7673525,131.9187084,120.8115481,106.839572,108.3001763,122.6067736,135.4217116,126.9888602,135.279902,137.9429524,137.958026
Israel,ISR,3.738975,3.578129306,3.855921825,3.610758333,3.577925,3.886833333,3.840566667,3.599555548,3.590558127,3.564527347,3.442405852,3.230198323,3.359614402,3.667374716,3.69971965
Italy,ITA,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546
Jamaica,JAM,87.19614633,85.8934632,88.74980239,100.3978832,110.9345278,116.9697766,125.0950346,127.9645442,128.8715191,133.3121183,142.4028328,150.7901059,153.4268165,154.158779,156.4395401
Jordan,JOR,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
Japan,JPN,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793,109.0096659,106.7745823,109.7543238,131.4981404,140.4911001,151.3662913
Kazakhstan,KAZ,147.355,146.6208333,149.1125,152.1291667,179.1916667,221.7283333,342.16,326.0010227,344.7058333,382.7473106,412.9533333,425.9075,460.165,456.165,468.9625
Kenya,KEN,79.2331517,88.81076997,84.52960176,86.1228789,87.92216381,98.17845333,101.5043695,103.4100045,101.301574,101.9912984,106.4507802,109.6377466,117.8659892,139.8463838,134.8224833
Kyrgyz Republic,KGZ,45.9642614,46.14390132,47.00447914,48.43805901,53.65405831,64.46210827,69.91406583,68.86666786,68.84032033,69.78934918,77.3461127,84.64082201,84.11622257,87.85612559,87.15031264
Cambodia,KHM,4184.916667,4058.5,4033,4027.25,4037.5,4067.75,4058.694579,4050.579986,4051.1669,4061.148963,4092.783219,4098.722795,4102.037865,4110.652746,4072.397239
Kiribati,KIR,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459,1.505191066,1.515358039
St. Kitts and Nevis,KNA,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
